Date+A1,Open,High,Low,Close,Volume,3M_before,Close_3M_before,3M_UP/DOWN,6M_before,Close_6M_before,6M_UP/DOWN,9M_before,Close_9M_before,9M_UP/DOWN,12_before,Close_12_before,12M_UP/DOWN
04/10/28,348.3,350.33,348.14,349.05,101249161,04/07/28,337.3,0,04/04/28,357.9,1,04/01/28,,,03/10/28,,
04/10/29,349.32,351.37,348.26,348.94,74552121,04/07/29,343.62,0,04/04/29,353.03,1,04/01/29,,,03/10/29,,
04/11/01,349.31,353.64,348.92,353.3,51846559,04/08/01,,,04/05/01,,,04/02/01,,,03/11/01,,
04/11/02,354.16,355.7,353.22,355.43,70588302,04/08/02,341.36,0,04/05/02,,,04/02/02,,,03/11/02,,
04/11/03,357.19,358.11,354.86,355.58,93006143,04/08/03,342.53,0,04/05/03,353.37,0,04/02/03,,,03/11/03,,
04/11/04,354.85,355.69,353.61,355.69,66276050,04/08/04,337.75,0,04/05/04,352.2,0,04/02/04,,,03/11/04,,
04/11/05,357.5,361.29,356.46,357.65,105661019,04/08/05,338.35,0,04/05/05,354.56,0,04/02/05,,,03/11/05,,
04/11/08,357.57,358.99,356.84,358.21,71221202,04/08/08,,,04/05/08,,,04/02/08,,,03/11/08,,
04/11/09,358.75,359.39,357.46,357.92,71656050,04/08/09,325.83,0,04/05/09,,,04/02/09,,,03/11/09,,
04/11/10,358.96,360.94,358.96,360,72909574,04/08/10,328.48,0,04/05/10,334.02,0,04/02/10,,,03/11/10,,
04/11/11,359.39,363.95,359.24,363.24,101523911,04/08/11,325.09,0,04/05/11,339.49,0,04/02/11,,,03/11/11,,
04/11/12,364.61,365.76,363.43,363.97,81282844,04/08/12,323.32,0,04/05/12,333.82,0,04/02/12,,,03/11/12,,
04/11/15,365.5,366.4,363.08,363.41,62904872,04/08/15,,,04/05/15,,,04/02/15,,,03/11/15,,
04/11/16,363.92,364.1,361.08,361.91,68618604,04/08/16,326.81,0,04/05/16,,,04/02/16,,,03/11/16,,
04/11/17,362.86,367.25,361.84,367.25,86386096,04/08/17,327.72,0,04/05/17,331.32,0,04/02/17,,,03/11/17,,
04/11/18,365.81,367.8,365.44,367.03,72794937,04/08/18,329.33,0,04/05/18,334.49,0,04/02/18,,,03/11/18,,
04/11/19,367.08,368.88,363.71,363.77,92987096,04/08/19,329.07,0,04/05/19,341.57,0,04/02/19,,,03/11/19,,
04/11/22,361.92,362.67,360.02,362.67,57704966,04/08/22,,,04/05/22,,,04/02/22,,,03/11/22,,
04/11/23,364.3,365.56,361.58,361.97,70740736,04/08/23,332.93,0,04/05/23,,,04/02/23,,,03/11/23,,
04/11/24,363.86,364.02,362.12,362.96,60221127,04/08/24,332.99,0,04/05/24,341.41,0,04/02/24,,,03/11/24,,
04/11/25,363.61,365.64,363.41,365.6,49085429,04/08/25,334.33,0,04/05/25,338.17,0,04/02/25,,,03/11/25,,
04/11/26,364.43,365.53,363.59,365.17,41593876,04/08/26,337.81,0,04/05/26,341.5,0,04/02/26,,,03/11/26,,
04/11/29,365.79,370.25,364.76,364.76,82489094,04/08/29,,,04/05/29,,,04/02/29,,,03/11/29,,
04/11/30,366.04,366.26,362.28,363.22,75978519,04/08/30,338.36,0,04/05/30,,,04/02/29,,,03/11/30,,
04/12/01,361.83,367.87,361.83,367.84,81302830,04/09/01,336.57,0,04/06/01,341.62,0,04/03/01,,,03/12/01,,
04/12/02,369.44,371.2,368.16,370.46,89040191,04/09/02,337.89,0,04/06/02,343.48,0,04/03/02,,,03/12/02,,
04/12/03,371.18,371.79,368.63,370.04,84001894,04/09/03,340.47,0,04/06/03,345.72,0,04/03/03,,,03/12/03,,
04/12/06,369.12,369.62,368.04,368.72,47268409,04/09/06,342.29,0,04/06/06,,,04/03/06,,,03/12/06,,
04/12/07,368.95,371.59,368.55,370.27,60477400,04/09/07,342.76,0,04/06/07,354.13,0,04/03/07,,,03/12/07,,
04/12/08,367.71,370.22,367.28,369.44,67281556,04/09/08,342.28,0,04/06/08,354.27,0,04/03/08,,,03/12/08,,
04/12/09,368.97,369.82,363.74,365.2,79121050,04/09/09,339.69,0,04/06/09,352.54,0,04/03/09,,,03/12/09,,
04/12/10,367.38,367.74,365.44,367.12,60766709,04/09/10,342.65,0,04/06/10,354.48,0,04/03/10,,,03/12/10,,
04/12/13,368.68,371.24,368.28,370.61,69331831,04/09/13,348.19,0,04/06/13,,,04/03/13,,,03/12/13,,
04/12/14,372.31,372.94,371.11,371.58,65506241,04/09/14,347.72,0,04/06/14,348.63,0,04/03/14,,,03/12/14,,
04/12/15,372.41,372.45,370.27,370.39,64287744,04/09/15,347.12,0,04/06/15,351.65,0,04/03/15,335.97,0,03/12/15,,
04/12/16,370.83,372.17,370.55,372.04,68836722,04/09/16,349.04,0,04/06/16,353.09,0,04/03/16,336.6,0,03/12/16,,
04/12/17,372.44,372.59,367.88,368.09,184556419,04/09/17,351.08,0,04/06/17,351.76,0,04/03/17,342.93,0,03/12/17,,
04/12/20,367.69,371.65,367.67,370.5,63168432,04/09/20,350.15,0,04/06/20,,,04/03/20,,,03/12/20,,
04/12/21,370.14,371.2,369.55,370.79,51410176,04/09/21,351.31,0,04/06/21,352.02,0,04/03/21,,,03/12/21,,
04/12/22,372.58,373.7,372.02,372.92,60927505,04/09/22,347.59,0,04/06/22,347.28,0,04/03/22,328.7,0,03/12/22,,
04/12/23,372.47,373.83,372.47,373.74,35377431,04/09/23,344.56,0,04/06/23,348.63,0,04/03/23,328.86,0,03/12/23,,
04/12/27,373.84,374.46,372.49,372.49,27136094,04/09/27,341.83,0,04/06/27,,,04/03/27,,,03/12/27,,
04/12/28,374.08,374.48,372.97,374.47,25574721,04/09/28,342.56,0,04/06/28,358.42,0,04/03/28,,,03/12/28,,
04/12/29,374.88,375.24,372.64,373.26,27019332,04/09/29,345.68,0,04/06/29,358.61,0,04/03/29,342.11,0,03/12/29,,
04/12/30,373.92,374.36,373.51,374.09,17550737,04/09/30,343.65,0,04/06/30,357.49,0,04/03/30,341.45,0,03/12/30,,
05/01/03,374.37,378.52,373.95,377.24,58116096,04/10/03,,,04/07/03,,,04/04/03,,,04/01/03,,
05/01/04,376.7,378.75,376.15,377.56,70743046,04/10/04,355.12,0,04/07/04,,,04/04/04,,,04/01/04,,
05/01/05,375.37,376.25,373.79,375.01,78056983,04/10/05,356.32,0,04/07/05,352.83,0,04/04/05,356.06,0,04/01/05,,
05/01/06,375.3,378.38,375.27,378.38,74400466,04/10/06,356.39,0,04/07/06,348.57,0,04/04/06,353.91,0,04/01/06,,
05/01/07,377.78,380.49,377.5,379.89,88003834,04/10/07,355.88,0,04/07/07,347.48,0,04/04/07,352.47,0,04/01/07,,
05/01/10,379.57,380.61,378.12,379.33,65217286,04/10/10,,,04/07/10,,,04/04/10,,,04/01/10,,
05/01/11,379.23,379.88,374.64,375.36,97746762,04/10/11,353.92,0,04/07/11,,,04/04/11,,,04/01/11,,
05/01/12,375.11,375.31,370.16,371.41,101206824,04/10/12,349.02,0,04/07/12,344.06,0,04/04/12,,,04/01/12,,
05/01/13,372.78,373.42,370.99,371.85,81305970,04/10/13,350.64,0,04/07/13,344.84,0,04/04/13,358.1,0,04/01/13,,
05/01/14,370.42,373.9,370.24,373.69,76589813,04/10/14,347.76,0,04/07/14,344.25,0,04/04/14,353.25,0,04/01/14,,
05/01/17,373.95,375.55,373.95,374.98,54179965,04/10/17,,,04/07/17,,,04/04/17,,,04/01/17,,
05/01/18,374.35,375.85,372.08,375.51,72233239,04/10/18,345.65,0,04/07/18,,,04/04/18,,,04/01/18,,
05/01/19,376.15,376.91,374.85,375.22,88103839,04/10/19,349.62,0,04/07/19,337.51,0,04/04/19,354.52,0,04/01/19,,
