Date,Open,High,Low,Close,Volume,Election_date,3M_before,Close_3M_before,3M_UP_DOWN,6M_before,Close_6M_before,6M_UP_DOWN,9M_before,Close_9M_before,9M_UP_DOWN,12_before,Close_12_before,12M_UP_DOWN,15_before,Close_15_before
02/07/22,315.799988,315.799988,315.799988,315.80 ,0,0,02/04/22,425.600006,0,02/01/22,415.149994,1,01/10/22,381.049988,1,01/07/22,,,01/04/22,
02/07/23,301.890015,301.890015,301.890015,301.89 ,0,0,02/04/23,425.029999,0,02/01/23,422.399994,1,01/10/23,387.299988,0,01/07/23,457.299988,0,01/04/23,476.200012
02/07/24,309.910004,309.910004,309.910004,309.91 ,0,0,02/04/24,422.970001,0,02/01/24,422.910004,1,01/10/24,393.980011,0,01/07/24,450.160004,0,01/04/24,481.380005
02/07/25,302.059998,302.059998,302.059998,302.06 ,0,0,02/04/25,416.269989,1,02/01/25,422.359985,1,01/10/25,388.029999,0,01/07/25,444.859985,0,01/04/25,481.029999
02/07/26,306.320007,306.320007,306.320007,306.32 ,0,0,02/04/26,413.25,0,02/01/26,,,01/10/26,395.179993,0,01/07/26,451.190002,0,01/04/26,482.589996
02/07/29,328.040009,328.040009,328.040009,328.04 ,0,0,02/04/29,413.170013,1,02/01/29,417.920013,1,01/10/29,385.049988,1,01/07/29,,,01/04/29,
02/07/30,329.529999,329.529999,329.529999,329.53 ,0,0,02/04/30,415.320007,1,02/01/30,415.609985,1,01/10/30,376.720001,0,01/07/30,459.670013,0,01/04/30,492.450012
02/07/31,316.23999,316.23999,316.23999,316.24 ,0,0,02/04/30,415.320007,1,02/01/31,419.940002,1,01/10/31,377.640015,0,01/07/31,464.5,0,01/04/30,492.450012
02/08/01,309.059998,309.059998,309.059998,309.06 ,0,0,02/05/01,415.320007,1,02/02/01,419.160004,1,01/11/01,382.220001,0,01/08/01,463.320007,0,01/05/01,492.450012
02/08/02,303.570007,303.570007,303.570007,303.57 ,0,0,02/05/02,410.769989,0,02/02/02,,,01/11/02,379.929993,0,01/08/02,460.220001,0,01/05/02,490.700012
02/08/05,287.679993,287.679993,287.679993,287.68 ,0,,02/05/05,,,02/02/05,408.709991,1,01/11/05,391.019989,1,01/08/05,,,01/05/05,
02/08/06,304.869995,304.869995,304.869995,304.87 ,0,0,02/05/06,405.329987,0,02/02/06,399.980011,1,01/11/06,387.899994,0,01/08/06,456.839996,0,01/05/06,
02/08/07,297.880005,297.880005,297.880005,297.88 ,0,0,02/05/07,404.130005,0,02/02/07,403.559998,1,01/11/07,397.73999,0,01/08/07,457.480011,0,01/05/07,484.190002
02/08/08,313.820007,313.820007,313.820007,313.82 ,0,0,02/05/08,414.029999,0,02/02/08,402.01001,0,01/11/08,406.160004,0,01/08/08,448.640015,0,01/05/08,483.829987
02/08/09,319.910004,319.910004,319.910004,319.91 ,0,0,02/05/09,410.309998,0,02/02/09,,,01/11/09,401.040009,0,01/08/09,441.839996,0,01/05/09,480.209991
02/08/12,311.369995,311.369995,311.369995,311.37 ,0,,02/05/12,,,02/02/12,405.75,1,01/11/12,395.350006,1,01/08/12,,,01/05/12,
02/08/13,313.890015,313.890015,313.890015,313.89 ,0,0,02/05/13,410.540009,0,02/02/13,408.529999,1,01/11/13,403.869995,0,01/08/13,439.459991,0,01/05/13,
02/08/14,306.73999,306.73999,306.73999,306.74 ,0,0,02/05/14,415.200012,0,02/02/14,411.040009,1,01/11/14,404.589996,0,01/08/14,443.309998,0,01/05/14,479.899994
02/08/15,312.910004,312.910004,312.910004,312.91 ,0,0,02/05/15,417.100006,0,02/02/15,404.600006,0,01/11/15,407.76001,0,01/08/15,438.910004,0,01/05/15,480.019989
02/08/16,314.480011,314.480011,314.480011,314.48 ,0,0,02/05/16,415.420013,0,02/02/16,,,01/11/16,411.220001,0,01/08/16,432.540009,0,01/05/16,485.149994
02/08/19,326.350006,326.350006,326.350006,326.35 ,0,,02/05/19,,,02/02/19,397.709991,0,01/11/19,419.950012,1,01/08/19,,,01/05/19,
02/08/20,320.980011,320.980011,320.980011,320.98 ,0,0,02/05/20,412.709991,0,02/02/20,398.73999,0,01/11/20,414.390015,0,01/08/20,422.670013,0,01/05/20,
02/08/21,328.529999,328.529999,328.529999,328.53 ,0,0,02/05/21,411.390015,0,02/02/21,403.26001,0,01/11/21,413.540009,0,01/08/21,423.269989,0,01/05/21,493.549988
02/08/22,331.540009,331.540009,331.540009,331.54 ,0,0,02/05/22,406.980011,0,02/02/22,396.980011,0,01/11/22,416.579987,0,01/08/22,423.350006,0,01/05/22,496.040009
02/08/23,325.850006,325.850006,325.850006,325.85 ,0,0,02/05/23,404.579987,0,02/02/23,,,01/11/23,418.140015,0,01/08/23,425.339996,0,01/05/23,492.019989
02/08/26,322.5,322.5,322.5,322.50 ,0,,02/05/26,,,02/02/26,406.799988,0,01/11/26,415.589996,1,01/08/26,,,01/05/26,
02/08/27,327.640015,327.640015,327.640015,327.64 ,0,0,02/05/27,409.589996,1,02/02/27,411.170013,0,01/11/27,412.019989,0,01/08/27,435.190002,0,01/05/27,
02/08/28,314.730011,314.730011,314.730011,314.73 ,0,0,02/05/28,406.799988,1,02/02/28,415.429993,1,01/11/28,402.119995,0,01/08/28,429.149994,0,01/05/28,491.940002
02/08/29,312.75,312.75,312.75,312.75 ,0,0,02/05/29,404.450012,1,02/02/28,415.429993,1,01/11/29,403.730011,0,01/08/29,428.450012,0,01/05/29,485.660004
02/08/30,316.73999,316.73999,316.73999,316.74 ,0,0,02/05/30,397.059998,1,02/02/28,415.429993,1,01/11/30,407.369995,0,01/08/30,418.799988,0,01/05/30,479.51001
02/09/02,308.890015,308.890015,308.890015,308.89 ,0,,02/06/02,,,02/03/02,,,01/12/02,,,01/09/02,,,01/06/02,
02/09/03,292.720001,292.720001,292.720001,292.72 ,0,0,02/06/03,396.329987,0,02/03/03,,,01/12/03,407.299988,0,01/09/03,413.73999,0,01/06/03,
02/09/04,294.359985,294.359985,294.359985,294.36 ,0,0,02/06/04,388.369995,1,02/03/04,428.420013,1,01/12/04,409.540009,0,01/09/04,420.369995,0,01/06/04,488.790009
02/09/05,288.48999,288.48999,288.48999,288.49 ,0,0,02/06/05,388.190002,1,02/03/05,427.140015,1,01/12/05,424.779999,1,01/09/05,410.070007,0,01/06/05,492.470001
02/09/06,298.559998,298.559998,298.559998,298.56 ,0,0,02/06/06,389.910004,1,02/03/06,430.670013,1,01/12/06,425.26001,1,01/09/06,398.630005,0,01/06/06,489.51001
02/09/09,294.130005,294.130005,294.130005,294.13 ,0,,02/06/09,,,02/03/09,,,01/12/09,,,01/09/09,,,01/06/09,
02/09/10,299.029999,299.029999,299.029999,299.03 ,0,0,02/06/10,385.130005,0,02/03/10,,,01/12/10,415.920013,1,01/09/10,384.079987,0,01/06/10,
02/09/11,305.899994,305.899994,305.899994,305.90 ,0,0,02/06/11,386.140015,1,02/03/11,433.589996,1,01/12/11,417.269989,1,01/09/11,357.25,0,01/06/11,488.910004
02/09/12,293.380005,293.380005,293.380005,293.38 ,0,0,02/06/12,379.579987,1,02/03/12,429.149994,1,01/12/12,411.549988,1,01/09/12,361.25,0,01/06/12,481.980011
02/09/13,288.309998,288.309998,288.309998,288.31 ,0,0,02/06/13,376.899994,1,02/03/13,427.059998,1,01/12/13,404.940002,1,01/09/13,364.220001,0,01/06/13,485.570007
02/09/16,284.709991,284.709991,284.709991,284.71 ,0,,02/06/16,,,02/03/16,,,01/12/16,,,01/09/16,,,01/06/16,
02/09/17,282.410004,282.410004,282.410004,282.41 ,0,0,02/06/17,376.829987,0,02/03/17,,,01/12/17,410.839996,1,01/09/17,352.309998,0,01/06/17,
02/09/18,269.200012,269.200012,269.200012,269.20 ,0,0,02/06/18,374.029999,1,02/03/18,438.380005,1,01/12/18,409.670013,1,01/09/18,349.160004,0,01/06/18,472.350006
02/09/19,260.429993,260.429993,260.429993,260.43 ,0,0,02/06/19,368.480011,1,02/03/19,440.649994,1,01/12/19,405.920013,1,01/09/19,339.910004,0,01/06/19,473.269989
02/09/20,264.880005,264.880005,264.880005,264.88 ,0,0,02/06/20,361.73999,1,02/03/20,435.059998,1,01/12/20,403,1,01/09/20,323.339996,0,01/06/20,469.559998
02/09/23,253.160004,253.160004,253.160004,253.16 ,0,,02/06/23,,,02/03/23,,,01/12/23,,,01/09/23,,,01/06/23,
02/09/24,248.869995,248.869995,248.869995,248.87 ,0,0,02/06/24,351.529999,0,02/03/24,,,01/12/24,407.75,1,01/09/24,335.820007,0,01/06/24,
02/09/25,255.789993,255.789993,255.789993,255.79 ,0,0,02/06/25,357.440002,1,02/03/25,432.390015,1,01/12/25,407.75,1,01/09/25,334.170013,0,01/06/25,470.450012
02/09/26,260.929993,260.929993,260.929993,260.93 ,0,0,02/06/26,349.070007,1,02/03/26,436.579987,1,01/12/26,407.75,1,01/09/26,340.950012,0,01/06/26,466.769989
02/09/27,253.389999,253.389999,253.389999,253.39 ,0,0,02/06/27,361.25,1,02/03/27,434.040009,1,01/12/27,414.309998,1,01/09/27,346.910004,0,01/06/27,465.779999
02/09/30,241.210007,241.210007,241.210007,241.21 ,0,,02/06/30,,,02/03/30,,,01/12/30,,,01/09/30,,,01/06/30,
02/10/01,248.25,248.25,248.25,248.25 ,0,0,02/07/01,369.809998,1,02/04/01,437.570007,1,02/01/01,417.399994,1,01/10/01,352.410004,0,01/07/01,
02/10/02,253.190002,253.190002,253.190002,253.19 ,0,0,02/07/02,356.579987,1,02/04/02,432.029999,1,02/01/02,418.48999,1,01/10/02,356.720001,0,01/07/02,482.98999
02/10/03,244.320007,244.320007,244.320007,244.32 ,0,0,02/07/03,351.859985,1,02/04/03,429.890015,1,02/01/03,426.279999,1,01/10/03,364.51001,0,01/07/03,479.450012
02/10/04,236.889999,236.889999,236.889999,236.89 ,0,0,02/07/04,360.660004,1,02/04/04,428.130005,0,02/01/04,429.779999,1,01/10/04,372.709991,0,01/07/04,476.459991
02/10/07,232.860001,232.860001,232.860001,232.86 ,0,,02/07/07,,,02/04/07,,,02/01/07,426.109985,1,01/10/07,,,01/07/07,
02/10/08,229.160004,229.160004,229.160004,229.16 ,0,0,02/07/08,375.01001,1,02/04/08,424.399994,0,02/01/08,427.559998,1,01/10/08,369.540009,0,01/07/08,
02/10/09,226.869995,226.869995,226.869995,226.87 ,0,0,02/07/09,369.390015,1,02/04/09,424.089996,0,02/01/09,432.029999,1,01/10/09,368.279999,0,01/07/09,464.910004
02/10/10,237.059998,237.059998,237.059998,237.06 ,0,0,02/07/10,355.75,1,02/04/10,429.790009,1,02/01/10,428.970001,1,01/10/10,376.890015,0,01/07/10,461.690002
02/10/11,253.009995,253.009995,253.009995,253.01 ,0,0,02/07/11,349.459991,1,02/04/11,423.420013,0,02/01/11,426.720001,1,01/10/11,385,0,01/07/11,459.649994
02/10/14,247.330002,247.330002,247.330002,247.33 ,0,,02/07/14,,,02/04/14,,,02/01/14,414.720001,1,01/10/14,,,01/07/14,
02/10/15,263.48999,263.48999,263.48999,263.49 ,0,0,02/07/15,333.540009,1,02/04/15,428.26001,1,02/01/15,414.480011,1,01/10/15,375.51001,0,01/07/15,
02/10/16,260.410004,260.410004,260.410004,260.41 ,0,0,02/07/16,337.660004,1,02/04/16,434.329987,1,02/01/16,408.75,1,01/10/16,381.23999,0,01/07/16,463.529999
02/10/17,273.390015,273.390015,273.390015,273.39 ,0,0,02/07/17,346.26001,1,02/04/17,432.76001,1,02/01/17,418.640015,1,01/10/17,382.910004,0,01/07/17,462.200012
02/10/18,272.829987,272.829987,272.829987,272.83 ,0,0,02/07/18,347.299988,1,02/04/18,429.279999,1,02/01/18,418.529999,1,01/10/18,378.709991,0,01/07/18,454.230011
02/10/21,281.950012,281.950012,281.950012,281.95 ,0,,02/07/21,,,02/04/21,,,02/01/21,416.269989,1,01/10/21,,,01/07/21,
