Date,Open,High,Low,Close,Volume,Election_date,3M_before,Close_3M_before,3M_UP_DOWN,6M_before,Close_6M_before,6M_UP_DOWN,9M_before,Close_9M_before,9M_UP_DOWN,12_before,Close_12_before,12M_UP_DOWN,15_before,Close_15_before
83/02/18,,,,,,,82/11/18,,,82/08/18,,,82/05/18,,,82/02/18,,,81/11/18,0
83/02/21,,,,,,,82/11/21,,,82/08/21,,,82/05/21,,,82/02/21,,,81/11/21,
83/02/22,,,,,,,82/11/22,,,82/08/22,,,82/05/22,,,82/02/22,,,81/11/22,
83/02/23,,,,,,,82/11/23,,,82/08/23,,,82/05/23,,,82/02/23,,,81/11/23,0
83/02/24,,,,,,,82/11/24,,,82/08/24,,,82/05/24,,,82/02/24,,,81/11/24,0
83/02/25,,,,,,,82/11/25,,,82/08/25,,,82/05/25,,,82/02/25,,,81/11/25,0
83/02/28,64.540001,64.540001,64.540001,64.54 ,0,,82/11/28,,,82/08/28,,,82/05/28,56.389999,1,82/02/28,,,81/11/28,
83/03/01,,,,,,,82/12/01,,,82/09/01,,,82/06/01,,,82/03/01,,,81/12/01,0
83/03/02,,,,,,,82/12/02,,,82/09/02,,,82/06/02,,,82/03/02,,,81/12/02,0
83/03/03,,,,,,,82/12/03,,,82/09/03,,,82/06/03,,,82/03/03,,,81/12/03,0
83/03/04,,,,,,,82/12/04,,,82/09/04,,,82/06/04,,,82/03/04,,,81/12/04,0
83/03/07,,,,,,,82/12/07,,,82/09/07,,,82/06/07,,,82/03/07,,,81/12/07,0
83/03/08,,,,,,,82/12/08,,,82/09/08,,,82/06/08,,,82/03/08,,,81/12/08,0
83/03/09,,,,,,,82/12/09,,,82/09/09,,,82/06/09,,,82/03/09,,,81/12/09,0
83/03/10,,,,,,,82/12/10,,,82/09/10,,,82/06/10,,,82/03/10,,,81/12/10,0
83/03/11,,,,,,,82/12/11,,,82/09/11,,,82/06/11,,,82/03/11,,,81/12/11,0
83/03/14,,,,,,,82/12/14,,,82/09/14,,,82/06/14,,,82/03/14,,,81/12/14,0
83/03/15,,,,,,,82/12/15,,,82/09/15,,,82/06/15,,,82/03/15,,,81/12/15,0
83/03/16,,,,,,,82/12/16,,,82/09/16,,,82/06/16,,,82/03/16,,,81/12/16,0
83/03/17,,,,,,,82/12/17,,,82/09/17,,,82/06/17,,,82/03/17,,,81/12/17,0
83/03/18,,,,,,,82/12/18,,,82/09/18,,,82/06/18,,,82/03/18,,,81/12/18,0
83/03/21,,,,,,,82/12/21,,,82/09/21,,,82/06/21,,,82/03/21,,,81/12/21,0
83/03/22,,,,,,,82/12/22,,,82/09/22,,,82/06/22,,,82/03/22,,,81/12/22,0
83/03/23,,,,,,,82/12/23,,,82/09/23,,,82/06/23,,,82/03/23,,,81/12/23,0
83/03/24,,,,,,,82/12/24,,,82/09/24,,,82/06/24,,,82/03/24,,,81/12/24,0
83/03/25,,,,,,,82/12/25,,,82/09/25,,,82/06/25,,,82/03/25,,,81/12/25,0
83/03/28,,,,,,,82/12/28,,,82/09/28,,,82/06/28,,,82/03/28,,,81/12/28,0
83/03/29,,,,,,,82/12/29,,,82/09/29,,,82/06/29,,,82/03/29,,,81/12/29,0
83/03/30,,,,,,,82/12/30,,,82/09/30,57.93,1,82/06/30,55.919998,1,82/03/30,,,81/12/30,0
83/03/31,69.739998,69.739998,69.739998,69.74 ,0,1,82/12/31,61.860001,0,82/09/30,57.93,1,82/06/30,55.919998,0,82/03/31,56.810001,1,81/12/31,54.209999
83/04/01,,,,,,,83/01/01,,,82/10/01,,,82/07/01,,,82/04/01,,,82/01/01,0
83/04/04,,,,,,,83/01/04,,,82/10/04,,,82/07/04,,,82/04/04,,,82/01/04,0
83/04/05,,,,,,,83/01/05,,,82/10/05,,,82/07/05,,,82/04/05,,,82/01/05,0
83/04/06,,,,,,,83/01/06,,,82/10/06,,,82/07/06,,,82/04/06,,,82/01/06,0
83/04/07,,,,,,,83/01/07,,,82/10/07,,,82/07/07,,,82/04/07,,,82/01/07,0
83/04/08,,,,,,,83/01/08,,,82/10/08,,,82/07/08,,,82/04/08,,,82/01/08,0
83/04/11,,,,,,,83/01/11,,,82/10/11,,,82/07/11,,,82/04/11,,,82/01/11,0
83/04/12,,,,,,,83/01/12,,,82/10/12,,,82/07/12,,,82/04/12,,,82/01/12,0
83/04/13,,,,,,,83/01/13,,,82/10/13,,,82/07/13,,,82/04/13,,,82/01/13,0
83/04/14,,,,,,,83/01/14,,,82/10/14,,,82/07/14,,,82/04/14,,,82/01/14,0
83/04/15,,,,,,,83/01/15,,,82/10/15,,,82/07/15,,,82/04/15,,,82/01/15,0
83/04/18,,,,,,,83/01/18,,,82/10/18,,,82/07/18,,,82/04/18,,,82/01/18,0
83/04/19,,,,,,,83/01/19,,,82/10/19,,,82/07/19,,,82/04/19,,,82/01/19,0
83/04/20,,,,,,,83/01/20,,,82/10/20,,,82/07/20,,,82/04/20,,,82/01/20,0
83/04/21,,,,,,,83/01/21,,,82/10/21,,,82/07/21,,,82/04/21,,,82/01/21,0
83/04/22,,,,,,,83/01/22,,,82/10/22,,,82/07/22,,,82/04/22,,,82/01/22,0
83/04/25,,,,,,,83/01/25,,,82/10/25,,,82/07/25,,,82/04/25,,,82/01/25,0
83/04/26,,,,,,,83/01/26,,,82/10/26,,,82/07/26,,,82/04/26,,,82/01/26,0
83/04/27,,,,,,,83/01/27,,,82/10/27,,,82/07/27,,,82/04/27,,,82/01/27,0
83/04/28,,,,,,,83/01/28,,,82/10/28,,,82/07/28,,,82/04/28,,,82/01/28,0
83/04/29,73.230003,73.230003,73.230003,73.23 ,0,,83/01/29,,,82/10/29,57.900002,1,82/07/29,,,82/04/29,,,82/01/29,55.110001
83/05/02,,,,,,,83/02/02,,,82/11/02,,,82/08/02,,,82/05/02,,,82/02/02,0
83/05/03,,,,,,,83/02/03,,,82/11/03,,,82/08/03,,,82/05/03,,,82/02/03,0
83/05/04,,,,,,,83/02/04,,,82/11/04,,,82/08/04,,,82/05/04,,,82/02/04,0
83/05/05,,,,,,,83/02/05,,,82/11/05,,,82/08/05,,,82/05/05,,,82/02/05,0
83/05/06,,,,,,,83/02/06,,,82/11/06,,,82/08/06,,,82/05/06,,,82/02/06,
83/05/09,,,,,,,83/02/09,,,82/11/09,,,82/08/09,,,82/05/09,,,82/02/09,0
83/05/10,,,,,,,83/02/10,,,82/11/10,,,82/08/10,,,82/05/10,,,82/02/10,0
83/05/11,,,,,,,83/02/11,,,82/11/11,,,82/08/11,,,82/05/11,,,82/02/11,0
83/05/12,,,,,,,83/02/12,,,82/11/12,,,82/08/12,,,82/05/12,,,82/02/12,0
83/05/13,,,,,,,83/02/13,,,82/11/13,,,82/08/13,,,82/05/13,,,82/02/13,
83/05/16,,,,,,,83/02/16,,,82/11/16,,,82/08/16,,,82/05/16,,,82/02/16,0
83/05/17,,,,,,,83/02/17,,,82/11/17,,,82/08/17,,,82/05/17,,,82/02/17,0
83/05/18,,,,,,,83/02/18,,,82/11/18,,,82/08/18,,,82/05/18,,,82/02/18,0
83/05/19,,,,,,,83/02/19,,,82/11/19,,,82/08/19,,,82/05/19,,,82/02/19,0
83/05/20,,,,,,,83/02/20,,,82/11/20,,,82/08/20,,,82/05/20,,,82/02/20,
83/05/23,,,,,,,83/02/23,,,82/11/23,,,82/08/23,,,82/05/23,,,82/02/23,0
83/05/24,,,,,,,83/02/24,,,82/11/24,,,82/08/24,,,82/05/24,,,82/02/24,0
83/05/25,,,,,,,83/02/25,,,82/11/25,,,82/08/25,,,82/05/25,,,82/02/25,0
83/05/26,,,,,,,83/02/26,,,82/11/26,,,82/08/26,,,82/05/26,,,82/02/26,55.740002
83/05/27,,,,,,,83/02/27,,,82/11/27,,,82/08/27,,,82/05/27,,,82/02/27,
83/05/30,,,,,,0,83/02/28,64.540001,0,82/11/30,59.369999,1,82/08/30,,,82/05/30,,,82/02/28,
83/05/31,70.809998,70.809998,70.809998,70.81 ,0,1,83/02/28,64.540001,0,82/11/30,59.369999,1,82/08/31,55.779999,0,82/05/31,56.389999,0,82/02/28,
83/06/01,,,,,,,83/03/01,,,82/12/01,,,82/09/01,,,82/06/01,,,82/03/01,0
83/06/02,,,,,,,83/03/02,,,82/12/02,,,82/09/02,,,82/06/02,,,82/03/02,0
83/06/03,,,,,,,83/03/03,,,82/12/03,,,82/09/03,,,82/06/03,,,82/03/03,0
83/06/06,,,,,,,83/03/06,,,82/12/06,,,82/09/06,,,82/06/06,,,82/03/06,
83/06/07,,,,,,,83/03/07,,,82/12/07,,,82/09/07,,,82/06/07,,,82/03/07,
83/06/08,,,,,,,83/03/08,,,82/12/08,,,82/09/08,,,82/06/08,,,82/03/08,0
83/06/09,,,,,,,83/03/09,,,82/12/09,,,82/09/09,,,82/06/09,,,82/03/09,0
83/06/10,,,,,,,83/03/10,,,82/12/10,,,82/09/10,,,82/06/10,,,82/03/10,0
83/06/13,,,,,,,83/03/13,,,82/12/13,,,82/09/13,,,82/06/13,,,82/03/13,
83/06/14,,,,,,,83/03/14,,,82/12/14,,,82/09/14,,,82/06/14,,,82/03/14,
83/06/15,,,,,,,83/03/15,,,82/12/15,,,82/09/15,,,82/06/15,,,82/03/15,0
83/06/16,,,,,,,83/03/16,,,82/12/16,,,82/09/16,,,82/06/16,,,82/03/16,0
83/06/17,,,,,,,83/03/17,,,82/12/17,,,82/09/17,,,82/06/17,,,82/03/17,0
83/06/20,,,,,,,83/03/20,,,82/12/20,,,82/09/20,,,82/06/20,,,82/03/20,
83/06/21,,,,,,,83/03/21,,,82/12/21,,,82/09/21,,,82/06/21,,,82/03/21,
83/06/22,,,,,,,83/03/22,,,82/12/22,,,82/09/22,,,82/06/22,,,82/03/22,0
83/06/23,,,,,,,83/03/23,,,82/12/23,,,82/09/23,,,82/06/23,,,82/03/23,0
83/06/24,,,,,,,83/03/24,,,82/12/24,,,82/09/24,,,82/06/24,,,82/03/24,0
83/06/27,,,,,,,83/03/27,,,82/12/27,,,82/09/27,,,82/06/27,,,82/03/27,
83/06/28,,,,,,,83/03/28,,,82/12/28,,,82/09/28,,,82/06/28,,,82/03/28,
83/06/29,,,,,,,83/03/29,,,82/12/29,,,82/09/29,,,82/06/29,,,82/03/29,0
83/06/30,73.349998,73.349998,73.349998,73.35 ,0,,83/03/30,,,82/12/30,,,82/09/30,57.93,1,82/06/30,55.919998,1,82/03/30,0
83/07/01,,,,,,,83/04/01,,,83/01/01,,,82/10/01,,,82/07/01,,,82/04/01,0
83/07/04,,,,,,,83/04/04,,,83/01/04,,,82/10/04,,,82/07/04,,,82/04/04,
83/07/05,,,,,,,83/04/05,,,83/01/05,,,82/10/05,,,82/07/05,,,82/04/05,0
83/07/06,,,,,,,83/04/06,,,83/01/06,,,82/10/06,,,82/07/06,,,82/04/06,0
83/07/07,,,,,,,83/04/07,,,83/01/07,,,82/10/07,,,82/07/07,,,82/04/07,0
83/07/08,,,,,,,83/04/08,,,83/01/08,,,82/10/08,,,82/07/08,,,82/04/08,0
83/07/11,,,,,,,83/04/11,,,83/01/11,,,82/10/11,,,82/07/11,,,82/04/11,
83/07/12,,,,,,,83/04/12,,,83/01/12,,,82/10/12,,,82/07/12,,,82/04/12,0
83/07/13,,,,,,,83/04/13,,,83/01/13,,,82/10/13,,,82/07/13,,,82/04/13,0
83/07/14,,,,,,,83/04/14,,,83/01/14,,,82/10/14,,,82/07/14,,,82/04/14,0
83/07/15,,,,,,,83/04/15,,,83/01/15,,,82/10/15,,,82/07/15,,,82/04/15,0
83/07/18,,,,,,,83/04/18,,,83/01/18,,,82/10/18,,,82/07/18,,,82/04/18,
83/07/19,,,,,,,83/04/19,,,83/01/19,,,82/10/19,,,82/07/19,,,82/04/19,0
83/07/20,,,,,,,83/04/20,,,83/01/20,,,82/10/20,,,82/07/20,,,82/04/20,0
83/07/21,,,,,,,83/04/21,,,83/01/21,,,82/10/21,,,82/07/21,,,82/04/21,0
83/07/22,,,,,,,83/04/22,,,83/01/22,,,82/10/22,,,82/07/22,,,82/04/22,0
83/07/25,,,,,,,83/04/25,,,83/01/25,,,82/10/25,,,82/07/25,,,82/04/25,
83/07/26,,,,,,,83/04/26,,,83/01/26,,,82/10/26,,,82/07/26,,,82/04/26,0
83/07/27,,,,,,,83/04/27,,,83/01/27,,,82/10/27,,,82/07/27,,,82/04/27,0
83/07/28,,,,,,,83/04/28,,,83/01/28,,,82/10/28,,,82/07/28,,,82/04/28,0
83/07/29,75.279999,75.279999,75.279999,75.28 ,0,1,83/04/29,73.230003,0,83/01/29,,,82/10/29,57.900002,1,82/07/29,,,82/04/29,0
83/08/01,,,,,,,83/05/01,,,83/02/01,,,82/11/01,,,82/08/01,,,82/05/01,
83/08/02,,,,,,,83/05/02,,,83/02/02,,,82/11/02,,,82/08/02,,,82/05/02,
83/08/03,,,,,,,83/05/03,,,83/02/03,,,82/11/03,,,82/08/03,,,82/05/03,0
83/08/04,,,,,,,83/05/04,,,83/02/04,,,82/11/04,,,82/08/04,,,82/05/04,0
83/08/05,,,,,,,83/05/05,,,83/02/05,,,82/11/05,,,82/08/05,,,82/05/05,0
83/08/08,,,,,,,83/05/08,,,83/02/08,,,82/11/08,,,82/08/08,,,82/05/08,
83/08/09,,,,,,,83/05/09,,,83/02/09,,,82/11/09,,,82/08/09,,,82/05/09,
83/08/10,,,,,,,83/05/10,,,83/02/10,,,82/11/10,,,82/08/10,,,82/05/10,0
83/08/11,,,,,,,83/05/11,,,83/02/11,,,82/11/11,,,82/08/11,,,82/05/11,0
83/08/12,,,,,,,83/05/12,,,83/02/12,,,82/11/12,,,82/08/12,,,82/05/12,0
83/08/15,,,,,,,83/05/15,,,83/02/15,,,82/11/15,,,82/08/15,,,82/05/15,
83/08/16,,,,,,,83/05/16,,,83/02/16,,,82/11/16,,,82/08/16,,,82/05/16,
83/08/17,,,,,,,83/05/17,,,83/02/17,,,82/11/17,,,82/08/17,,,82/05/17,0
83/08/18,,,,,,,83/05/18,,,83/02/18,,,82/11/18,,,82/08/18,,,82/05/18,0
83/08/19,,,,,,,83/05/19,,,83/02/19,,,82/11/19,,,82/08/19,,,82/05/19,0
83/08/22,,,,,,,83/05/22,,,83/02/22,,,82/11/22,,,82/08/22,,,82/05/22,
83/08/23,,,,,,,83/05/23,,,83/02/23,,,82/11/23,,,82/08/23,,,82/05/23,
83/08/24,,,,,,,83/05/24,,,83/02/24,,,82/11/24,,,82/08/24,,,82/05/24,0
83/08/25,,,,,,,83/05/25,,,83/02/25,,,82/11/25,,,82/08/25,,,82/05/25,0
83/08/26,,,,,,,83/05/26,,,83/02/26,,,82/11/26,,,82/08/26,,,82/05/26,0
83/08/29,,,,,,,83/05/29,,,83/02/28,64.540001,1,82/11/29,,,82/08/29,,,82/05/29,
83/08/30,,,,,,,83/05/30,,,83/02/28,64.540001,1,82/11/30,59.369999,1,82/08/30,,,82/05/30,
83/08/31,72.120003,72.120003,72.120003,72.12 ,0,1,83/05/31,70.809998,0,83/02/28,64.540001,1,82/11/30,59.369999,1,82/08/31,55.779999,0,82/05/31,56.389999
83/09/01,,,,,,,83/06/01,,,83/03/01,,,82/12/01,,,82/09/01,,,82/06/01,0
83/09/02,,,,,,,83/06/02,,,83/03/02,,,82/12/02,,,82/09/02,,,82/06/02,0
83/09/05,,,,,,,83/06/05,,,83/03/05,,,82/12/05,,,82/09/05,,,82/06/05,
83/09/06,,,,,,,83/06/06,,,83/03/06,,,82/12/06,,,82/09/06,,,82/06/06,
83/09/07,,,,,,,83/06/07,,,83/03/07,,,82/12/07,,,82/09/07,,,82/06/07,0
83/09/08,,,,,,,83/06/08,,,83/03/08,,,82/12/08,,,82/09/08,,,82/06/08,0
83/09/09,,,,,,,83/06/09,,,83/03/09,,,82/12/09,,,82/09/09,,,82/06/09,0
83/09/12,,,,,,,83/06/12,,,83/03/12,,,82/12/12,,,82/09/12,,,82/06/12,
83/09/13,,,,,,,83/06/13,,,83/03/13,,,82/12/13,,,82/09/13,,,82/06/13,
83/09/14,,,,,,,83/06/14,,,83/03/14,,,82/12/14,,,82/09/14,,,82/06/14,0
83/09/15,,,,,,,83/06/15,,,83/03/15,,,82/12/15,,,82/09/15,,,82/06/15,0
83/09/16,,,,,,,83/06/16,,,83/03/16,,,82/12/16,,,82/09/16,,,82/06/16,0
83/09/19,,,,,,,83/06/19,,,83/03/19,,,82/12/19,,,82/09/19,,,82/06/19,
83/09/20,,,,,,,83/06/20,,,83/03/20,,,82/12/20,,,82/09/20,,,82/06/20,
83/09/21,,,,,,,83/06/21,,,83/03/21,,,82/12/21,,,82/09/21,,,82/06/21,0
83/09/22,,,,,,,83/06/22,,,83/03/22,,,82/12/22,,,82/09/22,,,82/06/22,0
83/09/23,,,,,,,83/06/23,,,83/03/23,,,82/12/23,,,82/09/23,,,82/06/23,0
83/09/26,,,,,,,83/06/26,,,83/03/26,,,82/12/26,,,82/09/26,,,82/06/26,
83/09/27,,,,,,,83/06/27,,,83/03/27,,,82/12/27,,,82/09/27,,,82/06/27,
83/09/28,,,,,,,83/06/28,,,83/03/28,,,82/12/28,,,82/09/28,,,82/06/28,0
83/09/29,,,,,,,83/06/29,,,83/03/29,,,82/12/29,,,82/09/29,,,82/06/29,0
83/09/30,73.410004,73.410004,73.410004,73.41 ,0,1,83/06/30,73.349998,0,83/03/30,,,82/12/30,,,82/09/30,57.93,1,82/06/30,55.919998
83/10/03,,,,,,,83/07/03,,,83/04/03,,,83/01/03,,,82/10/03,,,82/07/03,
83/10/04,,,,,,,83/07/04,,,83/04/04,,,83/01/04,,,82/10/04,,,82/07/04,
83/10/05,,,,,,,83/07/05,,,83/04/05,,,83/01/05,,,82/10/05,,,82/07/05,0
83/10/06,,,,,,,83/07/06,,,83/04/06,,,83/01/06,,,82/10/06,,,82/07/06,0
83/10/07,,,,,,,83/07/07,,,83/04/07,,,83/01/07,,,82/10/07,,,82/07/07,0
83/10/10,,,,,,,83/07/10,,,83/04/10,,,83/01/10,,,82/10/10,,,82/07/10,
83/10/11,,,,,,,83/07/11,,,83/04/11,,,83/01/11,,,82/10/11,,,82/07/11,
83/10/12,,,,,,,83/07/12,,,83/04/12,,,83/01/12,,,82/10/12,,,82/07/12,0
83/10/13,,,,,,,83/07/13,,,83/04/13,,,83/01/13,,,82/10/13,,,82/07/13,0
83/10/14,,,,,,,83/07/14,,,83/04/14,,,83/01/14,,,82/10/14,,,82/07/14,0
83/10/17,,,,,,,83/07/17,,,83/04/17,,,83/01/17,,,82/10/17,,,82/07/17,
83/10/18,,,,,,,83/07/18,,,83/04/18,,,83/01/18,,,82/10/18,,,82/07/18,
83/10/19,,,,,,,83/07/19,,,83/04/19,,,83/01/19,,,82/10/19,,,82/07/19,0
83/10/20,,,,,,,83/07/20,,,83/04/20,,,83/01/20,,,82/10/20,,,82/07/20,0
83/10/21,,,,,,,83/07/21,,,83/04/21,,,83/01/21,,,82/10/21,,,82/07/21,0
83/10/24,,,,,,,83/07/24,,,83/04/24,,,83/01/24,,,82/10/24,,,82/07/24,
83/10/25,,,,,,,83/07/25,,,83/04/25,,,83/01/25,,,82/10/25,,,82/07/25,
83/10/26,,,,,,,83/07/26,,,83/04/26,,,83/01/26,,,82/10/26,,,82/07/26,0
83/10/27,,,,,,,83/07/27,,,83/04/27,,,83/01/27,,,82/10/27,,,82/07/27,0
83/10/28,,,,,,,83/07/28,,,83/04/28,,,83/01/28,,,82/10/28,,,82/07/28,0
83/10/31,77.650002,77.650002,77.650002,77.65 ,0,,83/07/31,,,83/04/30,,,83/01/31,61.360001,1,82/10/31,,,82/07/31,
83/11/01,,,,,,,83/08/01,,,83/05/01,,,83/02/01,,,82/11/01,,,82/08/01,
83/11/02,,,,,,,83/08/02,,,83/05/02,,,83/02/02,,,82/11/02,,,82/08/02,0
83/11/03,,,,,,,83/08/03,,,83/05/03,,,83/02/03,,,82/11/03,,,82/08/03,0
83/11/04,,,,,,,83/08/04,,,83/05/04,,,83/02/04,,,82/11/04,,,82/08/04,0
83/11/07,,,,,,,83/08/07,,,83/05/07,,,83/02/07,,,82/11/07,,,82/08/07,
83/11/08,,,,,,,83/08/08,,,83/05/08,,,83/02/08,,,82/11/08,,,82/08/08,
83/11/09,,,,,,,83/08/09,,,83/05/09,,,83/02/09,,,82/11/09,,,82/08/09,0
83/11/10,,,,,,,83/08/10,,,83/05/10,,,83/02/10,,,82/11/10,,,82/08/10,0
83/11/11,,,,,,,83/08/11,,,83/05/11,,,83/02/11,,,82/11/11,,,82/08/11,0
83/11/14,,,,,,,83/08/14,,,83/05/14,,,83/02/14,,,82/11/14,,,82/08/14,
83/11/15,,,,,,,83/08/15,,,83/05/15,,,83/02/15,,,82/11/15,,,82/08/15,
83/11/16,,,,,,,83/08/16,,,83/05/16,,,83/02/16,,,82/11/16,,,82/08/16,0
83/11/17,,,,,,,83/08/17,,,83/05/17,,,83/02/17,,,82/11/17,,,82/08/17,0
83/11/18,,,,,,,83/08/18,,,83/05/18,,,83/02/18,,,82/11/18,,,82/08/18,0
83/11/21,,,,,,,83/08/21,,,83/05/21,,,83/02/21,,,82/11/21,,,82/08/21,
83/11/22,,,,,,,83/08/22,,,83/05/22,,,83/02/22,,,82/11/22,,,82/08/22,
83/11/23,,,,,,,83/08/23,,,83/05/23,,,83/02/23,,,82/11/23,,,82/08/23,0
83/11/24,,,,,,,83/08/24,,,83/05/24,,,83/02/24,,,82/11/24,,,82/08/24,0
83/11/25,,,,,,,83/08/25,,,83/05/25,,,83/02/25,,,82/11/25,,,82/08/25,0
83/11/28,,,,,,,83/08/28,,,83/05/28,,,83/02/28,64.540001,1,82/11/28,,,82/08/28,
83/11/29,,,,,,,83/08/29,,,83/05/29,,,83/02/28,64.540001,1,82/11/29,,,82/08/29,
83/11/30,78.790001,78.790001,78.790001,78.79 ,0,,83/08/30,,,83/05/30,,,83/02/28,64.540001,1,82/11/30,59.369999,1,82/08/30,0
83/12/01,,,,,,,83/09/01,,,83/06/01,,,83/03/01,,,82/12/01,,,82/09/01,0
83/12/02,,,,,,,83/09/02,,,83/06/02,,,83/03/02,,,82/12/02,,,82/09/02,0
83/12/05,,,,,,,83/09/05,,,83/06/05,,,83/03/05,,,82/12/05,,,82/09/05,
83/12/06,,,,,,,83/09/06,,,83/06/06,,,83/03/06,,,82/12/06,,,82/09/06,0
83/12/07,,,,,,,83/09/07,,,83/06/07,,,83/03/07,,,82/12/07,,,82/09/07,0
83/12/08,,,,,,,83/09/08,,,83/06/08,,,83/03/08,,,82/12/08,,,82/09/08,0
83/12/09,,,,,,,83/09/09,,,83/06/09,,,83/03/09,,,82/12/09,,,82/09/09,0
83/12/12,,,,,,,83/09/12,,,83/06/12,,,83/03/12,,,82/12/12,,,82/09/12,
83/12/13,,,,,,,83/09/13,,,83/06/13,,,83/03/13,,,82/12/13,,,82/09/13,0
83/12/14,,,,,,,83/09/14,,,83/06/14,,,83/03/14,,,82/12/14,,,82/09/14,0
83/12/15,,,,,,,83/09/15,,,83/06/15,,,83/03/15,,,82/12/15,,,82/09/15,0
83/12/16,,,,,,,83/09/16,,,83/06/16,,,83/03/16,,,82/12/16,,,82/09/16,0
83/12/19,,,,,,,83/09/19,,,83/06/19,,,83/03/19,,,82/12/19,,,82/09/19,
83/12/20,,,,,,,83/09/20,,,83/06/20,,,83/03/20,,,82/12/20,,,82/09/20,0
83/12/21,,,,,,,83/09/21,,,83/06/21,,,83/03/21,,,82/12/21,,,82/09/21,0
83/12/22,,,,,,,83/09/22,,,83/06/22,,,83/03/22,,,82/12/22,,,82/09/22,0
83/12/23,,,,,,,83/09/23,,,83/06/23,,,83/03/23,,,82/12/23,,,82/09/23,0
83/12/26,,,,,,,83/09/26,,,83/06/26,,,83/03/26,,,82/12/26,,,82/09/26,
83/12/27,,,,,,,83/09/27,,,83/06/27,,,83/03/27,,,82/12/27,,,82/09/27,0
83/12/28,,,,,,,83/09/28,,,83/06/28,,,83/03/28,,,82/12/28,,,82/09/28,0
83/12/29,,,,,,,83/09/29,,,83/06/29,,,83/03/29,,,82/12/29,,,82/09/29,0
83/12/30,78.790001,78.790001,78.790001,78.79 ,0,1,83/09/30,73.410004,0,83/06/30,73.349998,1,83/03/30,,,82/12/30,,,82/09/30,57.93
84/01/02,,,,,,,83/10/02,,,83/07/02,,,83/04/02,,,83/01/02,,,82/10/02,
84/01/03,,,,,,,83/10/03,,,83/07/03,,,83/04/03,,,83/01/03,,,82/10/03,
84/01/04,,,,,,,83/10/04,,,83/07/04,,,83/04/04,,,83/01/04,,,82/10/04,0
84/01/05,,,,,,,83/10/05,,,83/07/05,,,83/04/05,,,83/01/05,,,82/10/05,0
84/01/06,,,,,,,83/10/06,,,83/07/06,,,83/04/06,,,83/01/06,,,82/10/06,0
84/01/09,,,,,,,83/10/09,,,83/07/09,,,83/04/09,,,83/01/09,,,82/10/09,
84/01/10,,,,,,,83/10/10,,,83/07/10,,,83/04/10,,,83/01/10,,,82/10/10,
84/01/11,,,,,,,83/10/11,,,83/07/11,,,83/04/11,,,83/01/11,,,82/10/11,0
84/01/12,,,,,,,83/10/12,,,83/07/12,,,83/04/12,,,83/01/12,,,82/10/12,0
84/01/13,,,,,,,83/10/13,,,83/07/13,,,83/04/13,,,83/01/13,,,82/10/13,0
84/01/16,,,,,,,83/10/16,,,83/07/16,,,83/04/16,,,83/01/16,,,82/10/16,
84/01/17,,,,,,,83/10/17,,,83/07/17,,,83/04/17,,,83/01/17,,,82/10/17,
84/01/18,,,,,,,83/10/18,,,83/07/18,,,83/04/18,,,83/01/18,,,82/10/18,0
84/01/19,,,,,,,83/10/19,,,83/07/19,,,83/04/19,,,83/01/19,,,82/10/19,0
84/01/20,,,,,,,83/10/20,,,83/07/20,,,83/04/20,,,83/01/20,,,82/10/20,0
84/01/23,,,,,,,83/10/23,,,83/07/23,,,83/04/23,,,83/01/23,,,82/10/23,
84/01/24,,,,,,,83/10/24,,,83/07/24,,,83/04/24,,,83/01/24,,,82/10/24,
84/01/25,,,,,,,83/10/25,,,83/07/25,,,83/04/25,,,83/01/25,,,82/10/25,0
84/01/26,,,,,,,83/10/26,,,83/07/26,,,83/04/26,,,83/01/26,,,82/10/26,0
84/01/27,,,,,,,83/10/27,,,83/07/27,,,83/04/27,,,83/01/27,,,82/10/27,0
84/01/30,,,,,,,83/10/30,,,83/07/30,,,83/04/30,,,83/01/30,,,82/10/30,
84/01/31,81.449997,81.449997,81.449997,81.45 ,0,1,83/10/31,77.650002,0,83/07/31,,,83/04/30,,,83/01/31,61.360001,0,82/10/31,
84/02/01,,,,,,,83/11/01,,,83/08/01,,,83/05/01,,,83/02/01,,,82/11/01,0
84/02/02,,,,,,,83/11/02,,,83/08/02,,,83/05/02,,,83/02/02,,,82/11/02,0
84/02/03,,,,,,,83/11/03,,,83/08/03,,,83/05/03,,,83/02/03,,,82/11/03,0
84/02/06,,,,,,,83/11/06,,,83/08/06,,,83/05/06,,,83/02/06,,,82/11/06,
84/02/07,,,,,,,83/11/07,,,83/08/07,,,83/05/07,,,83/02/07,,,82/11/07,
84/02/08,,,,,,,83/11/08,,,83/08/08,,,83/05/08,,,83/02/08,,,82/11/08,0
84/02/09,,,,,,,83/11/09,,,83/08/09,,,83/05/09,,,83/02/09,,,82/11/09,0
84/02/10,,,,,,,83/11/10,,,83/08/10,,,83/05/10,,,83/02/10,,,82/11/10,0
84/02/13,,,,,,,83/11/13,,,83/08/13,,,83/05/13,,,83/02/13,,,82/11/13,
84/02/14,,,,,,,83/11/14,,,83/08/14,,,83/05/14,,,83/02/14,,,82/11/14,
84/02/15,,,,,,,83/11/15,,,83/08/15,,,83/05/15,,,83/02/15,,,82/11/15,0
84/02/16,,,,,,,83/11/16,,,83/08/16,,,83/05/16,,,83/02/16,,,82/11/16,0
