,Date,Open,High,Low,Close,Volume,Election_date,X3M_before,Close_3M_before,X3M_UP_DOWN,X6M_before,Close_6M_before,X6M_UP_DOWN,X9M_before,Close_9M_before,X9M_UP_DOWN,X12_before,Close_12_before,X12M_UP_DOWN,X15_before,Close_15_before,stock_gr
7806,00/01/01,564.440002,564.440002,564.440002,564.44,0,1,99/09/30,439.070007,1,99/06/30,458.640015,1,99/03/31,421.390015,0,98/12/31,428.660004,1,98/09/30,387.600006,28.55353361
7871,00/04/01,633.159973,633.159973,633.159973,633.16,0,1,99/12/31,564.440002,0,99/09/30,439.070007,0,99/06/30,458.640015,1,99/03/31,421.390015,0,98/12/31,428.660004,12.17489901
7936,00/07/01,574.76001,574.76001,574.76001,574.76,0,0,00/03/30,634.130005,0,99/12/30,564.440002,1,99/09/30,439.070007,0,99/06/30,458.640015,1,99/03/30,419.320007,-9.223576979
8001,00/10/01,560.390015,560.390015,560.390015,560.39,0,0,00/06/29,572.460022,1,00/03/29,655.419983,1,99/12/29,557.789978,1,99/09/29,436.929993,0,99/06/29,458.640015,-2.500173986
8066,01/01/01,508.48999,508.48999,508.48999,508.49,0,0,00/09/29,560.390015,1,00/06/29,572.460022,0,00/03/29,655.419983,1,99/12/29,557.789978,1,99/09/29,436.929993,-9.261407234
8131,01/04/01,462.779999,462.779999,462.779999,462.78,0,NA,00/12/30,NA,NA,00/09/30,NA,NA,00/06/30,574.76001,0,00/03/30,634.130005,1,99/12/30,564.440002,-8.989360656
8196,01/07/01,480.190002,480.190002,480.190002,480.19,0,1,01/03/29,464.320007,1,00/12/29,508.48999,0,00/09/29,560.390015,0,00/06/29,572.460022,0,00/03/29,655.419983,3.762046761
8261,01/10/01,356.25,356.25,356.25,356.25,0,0,01/06/28,474.459991,0,01/03/28,460.369995,0,00/12/28,502.420013,0,00/09/28,562.02002,0,00/06/28,587.869995,-25.81061663
8327,02/01/01,417.399994,417.399994,417.399994,417.4,0,NA,01/09/30,NA,NA,01/06/30,NA,NA,01/03/31,NA,NA,00/12/31,NA,NA,00/09/30,NA,17.16491228
8391,02/04/01,437.570007,437.570007,437.570007,437.57,0,NA,01/12/29,NA,NA,01/09/29,NA,NA,01/06/29,480.190002,1,01/03/29,464.320007,0,00/12/29,508.48999,4.832295161
8456,02/07/01,371.200012,371.200012,371.200012,371.2,0,0,02/03/28,437.570007,0,01/12/28,417.399994,1,01/09/28,356.25,0,01/06/28,474.459991,1,01/03/28,460.369995,-15.16785886
8522,02/10/01,241.210007,241.210007,241.210007,241.21,0,NA,02/06/30,NA,NA,02/03/30,NA,NA,01/12/30,NA,NA,01/09/30,NA,NA,01/06/30,NA,-35.01885776
8588,03/01/01,250.690002,250.690002,250.690002,250.69,0,1,02/09/30,241.210007,0,02/06/30,NA,NA,02/03/31,NA,NA,01/12/31,417.399994,0,01/09/30,NA,3.930185316
8652,03/04/01,213.850006,213.850006,213.850006,213.85,0,0,02/12/31,250.690002,0,02/09/30,241.210007,1,02/06/30,NA,NA,02/03/31,NA,NA,01/12/31,417.399994,-14.69544058
8717,03/07/01,280.899994,280.899994,280.899994,280.9,0,NA,03/03/30,NA,NA,02/12/30,250.690002,1,02/09/30,241.210007,1,02/06/30,NA,NA,02/03/30,NA,31.35375263
8783,03/10/01,287.320007,287.320007,287.320007,287.32,0,1,03/06/30,280.899994,0,03/03/30,NA,NA,02/12/30,250.690002,1,02/09/30,241.210007,0,02/06/30,NA,2.285510858
8849,04/01/01,344.890015,344.890015,344.890015,344.89,0,1,03/09/30,287.320007,0,03/06/30,280.899994,1,03/03/31,213.850006,0,02/12/31,250.690002,1,02/09/30,241.210007,20.03689266
8914,04/04/01,340.350006,340.350006,340.350006,340.35,0,0,03/12/31,344.890015,0,03/09/30,287.320007,1,03/06/30,280.899994,1,03/03/31,213.850006,0,02/12/31,250.690002,-1.316361739
8979,04/07/01,357.48999,357.48999,357.48999,357.49,0,1,04/03/30,341.450012,1,03/12/30,344.890015,1,03/09/30,287.320007,1,03/06/30,280.899994,0,03/03/30,NA,5.035992361
9045,04/10/01,343.649994,343.649994,343.649994,343.65,0,0,04/06/30,357.48999,0,04/03/30,341.450012,0,03/12/30,344.890015,1,03/09/30,287.320007,1,03/06/30,280.899994,-3.871436963
9111,05/01/01,374.089996,374.089996,374.089996,374.09,0,1,04/09/30,343.649994,1,04/06/30,357.48999,1,04/03/31,340.350006,0,03/12/31,344.890015,1,03/09/30,287.320007,8.857849556
9175,05/04/01,385.299988,385.299988,385.299988,385.3,0,1,04/12/31,374.089996,0,04/09/30,343.649994,0,04/06/30,357.48999,1,04/03/31,340.350006,0,03/12/31,344.890015,2.996605095
9240,05/07/01,408.76001,408.76001,408.76001,408.76,0,1,05/03/30,384.859985,0,04/12/30,374.089996,1,04/09/30,343.649994,0,04/06/30,357.48999,1,04/03/30,341.450012,6.088762004
9306,05/10/01,451.420013,451.420013,451.420013,451.42,0,1,05/06/30,408.76001,0,05/03/30,384.859985,1,04/12/30,374.089996,1,04/09/30,343.649994,0,04/06/30,357.48999,10.43644192
9371,06/01/01,479.589996,479.589996,479.589996,479.59,0,1,05/09/30,451.420013,0,05/06/30,408.76001,1,05/03/30,384.859985,1,04/12/30,374.089996,1,04/09/30,343.649994,6.24030836
9436,06/04/01,538.48999,538.48999,538.48999,538.49,0,NA,05/12/31,NA,NA,05/09/30,451.420013,1,05/06/30,408.76001,1,05/03/31,385.299988,1,04/12/31,374.089996,12.28132363
9498,06/07/01,510.399994,510.399994,510.399994,510.4,0,0,06/03/30,539.25,0,05/12/30,479.589996,1,05/09/30,451.420013,1,05/06/30,408.76001,1,05/03/30,384.859985,-5.21643856
9563,06/10/01,540.580017,540.580017,540.580017,540.58,0,1,06/06/29,501.230011,1,06/03/29,533.5,1,05/12/29,483.320007,1,05/09/29,449.149994,1,05/06/29,408.559998,5.913009404
